amenity	cuisine	takeaway	name
bar;restaurant	french		Au P'tit Bonheur
bar;restaurant	french;crepe	yes	Le Sabot de Vénus
bar;restaurant	french		Les 3D
bar;restaurant	french		Le William's
bar;restaurant	french		Ô Vin sur Vingt
bar;restaurant	regional		Roc Café
bench;restaurant	chinese	yes	Le Grand Pékin
cafe;restaurant	regional		Chez Marinette
disused:fast_food	sandwich	yes	Subway
fast_food	african		Africa in a Box
fast_food	african		African Evasion
fast_food	african		Afrik'n'Fusion
fast_food	african		Afroodiziak
fast_food	african		Bakel
fast_food	african;burger		Afrika Burger
fast_food	african		Chez Bernadette
fast_food	african		Délice Africa
fast_food	african		La Boîte à Tiep
fast_food	african		Le Safariz
fast_food	african		Les Saveurs d'Aubin
fast_food	african		Ô Baobab
fast_food	african		Osè ! African Cuisine
fast_food	african	yes	La Case
fast_food	african	yes	Le Break
fast_food	african	yes	Le Break
fast_food	african	yes	Madiba
fast_food	african	yes	Miami Food
fast_food	african	yes	Mica
fast_food	african	yes	Tombouctou
fast_food	aligot	yes	Aligot Bar
fast_food	american;arab;barbecue;indonesian	yes	L'Escale
fast_food	american		Bagel House
fast_food	american		Best Of
fast_food	american;burger;chicken	yes	KFC
fast_food	american;burger;tacos		El Caliente
fast_food	american;burger	yes	McDonald's Fagnières
fast_food	american;chicken	yes	KFC Restaurant
fast_food	american;crepe;donut;fish_and_chips;french;sandwich;ice_cream	yes	Le Kiosk
fast_food	american		Diners Burger
fast_food	american		Fred's
fast_food	american		Holly's Diner Bourges
fast_food	american		Homer Lobster
fast_food	american;hotdog;burger		JB's Diner
fast_food	american;ice_cream;sandwich		au ch'ti panini
fast_food	american;kebab;panini		L'en K
fast_food	american		La Grignotte
fast_food	american		Le Croustill
fast_food	american;mediterranean;turkish		PIDÈ PARIS
fast_food	american		Memphis Coffee
fast_food	american		Memphis Niort
fast_food	american		Monsieur Hot Dog
fast_food	american		Moutarde Street
fast_food	american		Pass'ta Box
fast_food	american;pizza		La 3e Mi-temps
fast_food	american		Pizz Burger
fast_food	american		Pleyel Burger
fast_food	american		Poutine House
fast_food	american		Quick
fast_food	american;sandwich	yes	Best Bagels
fast_food	american	yes	21 Burger S
fast_food	american	yes	82 O'Kings
fast_food	american	yes	B52
fast_food	american	yes	Hot Dogger
fast_food	american	yes	Mabawa Wings
fast_food	american	yes	Merican Bagels
fast_food	american	yes	Quick
fast_food	Amérique_du_sud		VenezoLatino
fast_food	Antilles		Banm'mokit
fast_food	arab;burger;friture;mexican		Burger Time
fast_food	arabic		Snack VIP
fast_food	arab;kebab;grill	yes	Vitamin Restaurant
fast_food	arab		Kebab Lamballe
fast_food	arab		Le Bon Couscous
fast_food	arab		Les délices de Tunis
fast_food	arab		Nabab
fast_food	arab	no	Resto chich kebab
fast_food	arab		O' 3 Frères
fast_food	arab;tacos;kebab		Le triangle d'or
fast_food	arab		Une Porte sur Kaboul
fast_food	arab	yes	Aux Délices Berbères
fast_food	argentinian		Boludo Empanadas
fast_food	argentinian;spanish	yes	Caminito
fast_food	asian		321 Food
fast_food	asian		55 Tocqueville Express
fast_food	asian		Allo Sushi
fast_food	asian		Ang
fast_food	asian		Asia Bay
fast_food	asian		Asia Food
fast_food	asian		Asia Gourmet
fast_food	asian		Asian Wok
