1,Bassin mixte de natation,leisure=swimming_pool,sport=swimming,
2,Bassin sportif de natation,leisure=swimming_pool,sport=swimming,
3,Bassin ludique de natation,leisure=swimming_pool,sport=swimming,
4,Fosse à plongeon,leisure=swimming_pool,sport=swimming,
5,Fosse à plongée,leisure=swimming_pool,sport=swimming,
6,Site artificiel,,,
7,Terrain de boules,leisure=pitch,sport=boules,type=lyonnaise
8,Terrain de pétanque,leisure=pitch,sport=boules,type=petanque
9,,,,
10,Bowling,,sport=10pin,
11,Circuit de vitesse,leisure=track,sport=motor,
11,Circuit de vitesse,leisure=pitch,sport=motor,
12,,,,
13,,,,
14,Circuit de motocross,leisure=pitch,sport=motocross,
15,,,,
16,Course sur piste,leisure=track,sport=motor,
17,Terrain de trial,,,
18,,,,
19,Piste de kart,leisure=track,sport=karting,
20,,,,
21,Court de tennis,leisure=pitch,sport=tennis,
22,Anneau / piste de cyclisme,leisure=track,sport=cycling,
23,,,,
24,Espace trial,,,
25,Piste de bicross,,sport=bmx,
26,Piste de descente,,,
27,Relais rando-vélo,,,
28,Vélodrome,leisure=track,sport=cycling,
29,,,,
30,Domaine de ski alpin,piste:type=downhill,sport=skiing,
31,,,,
32,Tremplin à ski,,sport=ski_jump_take_off,
33,,,,
34,Salle de cours collectifs,,,
35,Salle de musculation/cardiotraining,,,
36,Bassin d'exercices aquatiques,leisure=swimming_pool,sport=swimming,
36,Bassin d'exercices aquatiques,amenity=swimming_pool,sport=swimming,
38,Carrière,leisure=pitch,sport=equestrian,
39,Carrière de dressage/rond de longe,leisure=pitch,sport=equestrian,
40,Manège,leisure=pitch,sport=equestrian,
41,Parcours d'obstacle,leisure=pitch,sport=equestrian,
42,Piste de course sur le plat,leisure=track,sport=horse_racing,
43,Structure de tourisme équestre,leisure=horse_riding,sport=equestrian,
44,Terrain de horse-ball,leisure=pitch,sport=equestrian,
45,Terrain de polo,leisure=pitch,sport=equestrian,
46,Parcours de cross,leisure=track,sport=equestrian,
47,,,,
48,Stade d’athlétisme,leisure=stadium,sport=athletics,
49,Aire de lancer,leisure=pitch,sport=athletics,
50,Aire de saut,leisure=pitch,sport=athletics,
51,Piste d'athlétisme isolée,leisure=track,sport=athletics,
52,,,,
53,Mur ou fronton mixte,leisure=pitch,sport=pelota,
54,Mur à gauche,leisure=pitch,sport=pelota,
55,Fronton place libre,leisure=pitch,sport=pelota,
56,Trinquet,leisure=pitch,sport=pelota,
57,Mur de tennis,,,
58,Jaï-Laï,leisure=pitch,sport=pelota,
59,,,,
60,Parcours d'initiation,leisure=golf_course,sport=golf,
61,Parcours 18 trous,leisure=golf_course,sport=golf,
62,,,,
63,Parcours 9 trous,leisure=golf_course,sport=golf,
64,Practice,,sport=golf,golf=practice
65,Swingolf,,sport=golf,
66,,,,
67,Parcours sportif/santé,leisure=fitness_station,sport=exercise,
68,Pas de tir à l'arc,leisure=pitch,sport=archery,
69,Pas de tir à la cible,leisure=pitch,sport=shooting,
70,Pas de tir aux plateaux,leisure=pitch,sport=shooting,
71,,,,
72,,,,
73,Aire de sports de glace sportive,leisure=ice_rink,,
74,Aire de sports de glace ludique,leisure=ice_rink,,
77,Plaine de jeux,,,
78,Plateau EPS/Multisports/city-stades,leisure=pitch,sport=multi,
79,Dojo / Salle d'arts martiaux,amenity=dojo,,
80,Salle de boxe,,sport=boxing,
83,Salle multisports,leisure=pitch,sport=multi,
84,Salle de basket,leisure=pitch,sport=basketball,
